,INSTNM,MD_FAMINC,RPY_3YR_RT,SAT_AVG,ACTCMMID
282,Columbia College Hollywood,46576,0.3833333333,,
283,El Camino College-Compton Center,17500,0.2452054795,,
284,Contra Costa College,14339,0.2775665399,,
285,Cosumnes River College,16505,0.2514563107,,
286,Crafton Hills College,20504,PrivacySuppressed,,
287,Cuesta College,19228.5,0.546184739,,
288,Cuyamaca College,11353,0.4252873563,,
289,Cypress College,18919,0.4194029851,,
290,De Anza College,20482.5,0.4149933066,,
291,International School of Beauty Inc,16739.5,0.3507692308,,
292,Dell'Arte International School of Physical Theatre,PrivacySuppressed,PrivacySuppressed,,
293,College of the Desert,19994,0.3164556962,,
294,Design Institute of San Diego,28781.5,0.637037037,,
295,Diablo Valley College,16778.5,0.5100671141,,
296,Dominican University of California,65976,0.7153196622,1039.0,23.0
297,Dominican School of Philosophy & Theology,,,,
298,East Los Angeles College,17784,0.3729433272,,
299,El Camino Community College District,17500,0.2452054795,,
300,Elegance International,16843.5,0.4621212121,,
301,Emperor's College of Traditional Oriental Medicine,,PrivacySuppressed,,
302,Empire College,20085,0.403539823,,
303,Evergreen Valley College,15200.5,0.5657370518,,
304,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,44590,0.62595226,,
305,FIDM-Fashion Institute of Design & Merchandising-San Francisco,44590,0.62595226,,
306,FIDM-Fashion Institute of Design & Merchandising-Orange County,44590,0.62595226,,
307,Feather River Community College District,24226,0.3175965665,,
308,Federico Beauty Institute,25880,0.539083558,,
309,Fielding Graduate University,,PrivacySuppressed,,
310,Five Branches University,PrivacySuppressed,PrivacySuppressed,,
311,Hair California Beauty Academy,18029,,,
312,Redondo Beach Beauty College,11728,,,
313,Foothill College,19671,0.4420289855,,
314,Franciscan School of Theology,,,,
315,Fredrick and Charles Beauty College,8791,,,
316,Fresno City College,16350,0.3426323319,,
317,Fresno Pacific University,31830,0.5337209302,968.0,21.0
318,Fuller Theological Seminary,PrivacySuppressed,PrivacySuppressed,,
319,Fullerton College,20971.5,0.3626373626,,
320,Gavilan College,20559.5,0.3397260274,,
321,Gemological Institute of America-Carlsbad,18810.5,0.8073394495,,
322,Glendale Community College,12372,0.5693950178,,
323,Glendale Career College,20380,0.4149068323,,
324,Golden Gate University-San Francisco,38994,0.5590062112,,
325,Golden West College,17597,0.5031055901,,
326,Graduate Theological Union,PrivacySuppressed,,,
327,Grossmont College,14883,0.4390581717,,
328,Salon Success Academy-Riverside,15029,0.3617021277,,
329,Hartnell College,24413,0.2765957447,,
330,Harvey Mudd College,104805.5,PrivacySuppressed,1496.0,34.0
331,Hilltop Beauty School,18040,,,
332,Holy Names University,42253.5,0.5344202899,888.0,18.0
333,Pacifica Graduate Institute,,PrivacySuppressed,,
334,Humboldt State University,26596,0.57681252,983.0,21.0
335,Humphreys University-Stockton and Modesto Campuses,17484,0.2561576355,,
336,Imperial Valley College,17104,,,
337,Institute for Business and Technology,19945,0.3538011696,,
338,Interior Designers Institute,30429,0.6732673267,,
339,Toni & Guy Hairdressing Academy-Santa Monica,19621,0.4492440605,,
340,Irvine Valley College,18620.5,0.4137931034,,
341,Bellus Academy-El Cajon,24094,0.320610687,,
342,John F. Kennedy University,23729,0.4732142857,,
343,American Jewish University,13489,0.5,,
344,Reedley College,21000,0.3683127572,,
345,Life Pacific College,39700,0.5172413793,889.0,19.0
346,Argosy University-The Art Institute of California-San Diego,15000,0.2683174504,,
347,University of La Verne,35393.5,0.5224144017,1040.0,23.0
348,Laguna College of Art and Design,57057,0.6129032258,,
349,Lake Tahoe Community College,13517,PrivacySuppressed,,
350,Lancaster Beauty School,15314,0.2903225806,,
351,Laney College,10623.5,0.2511415525,,
352,Lassen Community College,17498,0.3050847458,,
353,Life Chiropractic College West,,,,
354,Lincoln University,11104,0.4651162791,,
355,Southern California Seminary,10834,0.5526315789,,
356,La Sierra University,39628,0.5204678363,906.0,19.0
357,Loma Linda University,28486,0.8243080626,,
358,Long Beach City College,16391,0.2462006079,,
359,Southern California University of Health Sciences,21545,0.4482758621,,
360,Los Angeles Harbor College,18624,0.3962264151,,
361,Los Angeles Pierce College,15511,0.3279002876,,
362,Los Angeles Southwest College,11780,0.1754385965,,
363,Los Angeles Trade Technical College,12342,0.291005291,,
364,Los Angeles Valley College,14713,0.391908976,,
365,The Master's University and Seminary,62835.5,0.7686567164,1098.0,25.0
366,Los Angeles City College,12348,0.3221360896,,
367,Los Angeles County College of Nursing and Allied Health,19204,0.7184466019,,
368,Los Angeles Mission College,18073,0.4487951807,,
369,Los Medanos College,16223,0.4639175258,,
370,Argosy University-The Art Institute of California-San Francisco,15000,0.2683174504,,
371,Loyola Marymount University,69000,0.7843866171,1244.0,28.0
372,Lu Ross Academy,20585.5,0.4751552795,,
373,Lyle's College of  Beauty,14595,0.4363636364,,
374,Lytles Redwood Empire Beauty College Inc,24423,0.7310344828,,
375,MTI Business College Inc,0,0.1722689076,,
376,MTI College,19868,0.4742436631,,
377,Brightwood College-Sacramento,14075,0.296148074,,
378,Brightwood College-San Diego,21477,0.4030668127,,
379,Brightwood College-Vista,19554.5,0.4083333333,,
380,College of Marin,15491,0.2746185853,,
381,Marymount California University,38783.5,0.4704301075,,
382,Mendocino College,16089,0.2335766423,,
383,Menlo College,49601,0.6470588235,1010.0,22.0
384,Merced College,18008,,,
385,Merritt College,13204,0.2588652482,,
386,Mills College,33773,0.6877192982,1109.0,26.0
387,MiraCosta College,19811,0.4448398577,,
388,Mission College,15691,0.4694835681,,
389,Modern Beauty Academy,23985,0.4912280702,,
390,Brightwood College-Los Angeles-Van Nuys,19136,0.4083232811,,
391,Modesto Junior College,16410,,,
392,Moler Barber College,4800,0.2465753425,,
393,Middlebury Institute of International Studies at Monterey,57882,0.8765743073,,
394,Monterey Peninsula College,20553,0.3175074184,,
395,Moorpark College,20700,0.4186440678,,
396,Mt San Antonio College,19497,0.4119850187,,
397,Mount Saint Mary's University,35520,0.5858895706,923.0,20.0
398,Mt San Jacinto Community College District,17826,0.3653846154,,
399,Musicians Institute,23802.5,0.5433579336,,
400,Napa Valley College,22230,0.4472361809,,
401,National Holistic Institute,15296.5,0.5344970906,,
402,National University,31188,0.4979396736,,
403,Newschool of Architecture and Design,19871,0.4797979798,,
404,Newberry School of Beauty,16408,0.5656565657,,
405,North Adrian's College of Beauty Inc,5071,0.2430769231,,
406,North-West College-Pomona,17691,0.3725296443,,
407,North-West College-West Covina,17561.5,0.4816650149,,
408,North-West College-Pasadena,18377,0.408496732,,
409,Notre Dame de Namur University,39259,0.6161616162,913.0,20.0
410,Occidental College,76004,0.8759541985,1315.0,30.0
411,Oceanside College of Beauty,26582,0.5238095238,,
412,Ohlone College,19455,0.3984375,,
413,Orange Coast College,17827.5,0.4910714286,,
414,Otis College of Art and Design,37380,0.6936416185,,
415,Oxnard College,22231,PrivacySuppressed,,
416,Hope International University,40565,0.5446428571,942.0,21.0
417,Concorde Career College-San Diego,18600.5,0.3953488372,,
418,Palo Alto University,18766.5,0.6708860759,,
419,Pacific Oaks College,24828.5,0.4872521246,,
420,Pacific School of Religion,PrivacySuppressed,PrivacySuppressed,,
421,Pacific States University,PrivacySuppressed,PrivacySuppressed,,
422,Pacific Union College,55384,0.5951219512,986.0,21.0
423,University of the Pacific,44821.5,0.7276096356,1180.0,27.0
424,Palo Verde College,14998,,,
425,Palomar College,21290,0.3440860215,,
426,Pasadena City College,18768,0.38424821,,
427,Pepperdine University,69305,0.744732577,1251.0,29.0
428,Pitzer College,71480.5,0.8376068376,,
429,Platt College-San Diego,22325,0.421641791,,
430,Point Loma Nazarene University,59409,0.7935299715,1149.0,26.0
431,Pomona College,42689,0.8510638298,1442.0,33.0
432,Porterville College,18303,,,
433,Professional Institute of Beauty,17769,0.6268656716,,
434,Santa Ana College,22576,0.4611650485,,
435,Pardee RAND Graduate School,,,,
436,Shasta School of Cosmetology,19727.5,,,
437,University of Redlands,57353,0.6832579186,1101.0,25.0
438,College of the Redwoods,12590,0.3594864479,,
439,Salon Success Academy-Upland,14535.5,0.4520547945,,
440,Salon Success Academy-Corona,14969.5,0.4431818182,,
441,Rio Hondo College,19375.5,0.3438395415,,
442,Riverside City College,19199.5,0.4141531323,,
443,Argosy University-San Francisco Bay Area,15000,0.2683174504,,
444,Rosemead Beauty School,11264,,,
445,Dongguk University-Los Angeles,PrivacySuppressed,PrivacySuppressed,,
446,Sacramento City College,14424,0.3094282849,,
447,Saddleback College,19305,0.4533106961,,
448,Samuel Merritt University,30597,0.9169230769,,
449,San Diego City College,15000,0.2963525836,,
450,Golf Academy of America-San Diego,13816,0.1902896021,,
451,San Diego Mesa College,18693,0.4423269809,,
452,San Diego Miramar College,18435,0.4172661871,,
453,San Diego State University,32530,0.6623442024,1132.0,26.0
454,University of San Diego,70085,0.800768738,1237.0,28.0
455,San Francisco Art Institute,37402.5,0.4886877828,,
456,San Francisco Conservatory of Music,49656,0.5882352941,,
457,San Francisco State University,27895.5,0.6432451582,979.0,21.0
458,San Francisco Theological Seminary,PrivacySuppressed,,,
459,University of San Francisco,57928,0.7321924144,1150.0,26.0
460,San Joaquin College of Law,,PrivacySuppressed,,
461,San Joaquin Delta College,16969.5,0.2343274498,,
462,San Joaquin Valley College-Visalia,15708,0.3015602145,,
463,William Jessup University,47787.5,0.6157989228,1023.0,22.0
464,San Jose City College,15562,0.368159204,,
465,San Jose State University,29408,0.7425373134,1039.0,23.0
466,College of San Mateo,20282.5,0.5608108108,,
467,Santa Barbara Business College-Bakersfield,17012.5,0.2811671088,,
468,Santa Barbara Business College-Santa Maria,19436.5,0.4512987013,,
469,Santa Barbara City College,22909.5,0.4010046044,,
470,Santa Clara University,97113.5,0.8798674399,1321.0,30.0
471,Santa Monica College,16926,0.4652241113,,
472,Santa Rosa Junior College,19251.5,0.5280748663,,
473,Saybrook University,,PrivacySuppressed,,
474,Scripps College,78713,0.923566879,1353.0,30.0
475,College of the Sequoias,19124,0.4421364985,,
476,Shasta Bible College and Graduate School,12253.5,PrivacySuppressed,,
477,Shasta College,13661,0.3406862745,,
478,Sierra College,17349,0.3198403649,,
479,Sierra College of Beauty,10182,,,
480,Trinity Law School,38553,0.5627198124,,
481,Simpson University,34919.5,0.6647127784,985.0,21.0
482,College of the Siskiyous,18709.5,0.3426791277,,
483,Charles A Jones Career and Education Center,14942,0.6186046512,,
484,Skyline College,19469,0.5135135135,,
485,San Bernardino Valley College,16948,0.3306451613,,
486,Saint Mary's College of California,72847,0.7582755966,1093.0,25.0
487,Solano Community College,19386,0.2866344605,,
488,Sonoma State University,40508,0.6934615385,990.0,22.0
489,South Baylo University,16400,0.4358974359,,
490,South Coast College,25000,0.3769633508,,
491,Vanguard University of Southern California,42880,0.6570680628,942.0,21.0
492,Concorde Career College-Garden Grove,19948,0.4823731728,,
493,Southwestern College,19399.5,0.3768939394,,
494,Starr King School for the Ministry,PrivacySuppressed,,,
495,Marshall B Ketchum University,,,,
496,Southern California Institute of Architecture,27841,0.5666666667,,
497,University of Southern California,45149,0.8019733823,1395.0,32.0
498,Southwestern Law School,8190,PrivacySuppressed,,
499,Taft College,21203,,,
500,Claremont School of Theology,PrivacySuppressed,PrivacySuppressed,,
501,Thomas Aquinas College,97358.5,0.923566879,1249.0,28.0
502,Epic Bible College,19850,0.3724489796,,
503,United Education Institute-Huntington Park Campus,10993.5,0.2426105153,,
504,Concorde Career College-San Bernardino,17215,0.3821603928,,
505,Universal College of Beauty Inc-Los Angeles 1,427,,,
506,Concorde Career College-North Hollywood,17874,0.4829369183,,
507,Ventura College,22347.5,0.2958937198,,
508,The Santa Barbara and Ventura Colleges of Law at Ventura,PrivacySuppressed,,,
509,Victor Valley College,14660.5,0.198156682,,
510,Berkeley City College,13864.5,0.3755274262,,
511,Walden University,29737.5,0.3000815162,,
512,Waynes College of Beauty,15892,,,
513,West Hills College-Coalinga,21911,0.3514376997,,
514,West Los Angeles College,14188,0.2524271845,,
515,West Valley College,17593.5,0.5183673469,,
516,Carrington College-Sacramento,18013,0.3887273902,,
517,Westminster Theological Seminary in California,,,,
518,Westmont College,87651,0.8161434978,1171.0,26.0
519,Whittier College,64984,0.6729377713,1040.0,23.0
520,Woodbury University,32542.5,0.5777777778,1012.0,24.0
521,The Wright Institute,,PrivacySuppressed,,
522,Western State College of Law at Argosy University,15000,0.2683174504,,
523,Thomas Jefferson School of Law,PrivacySuppressed,PrivacySuppressed,,
524,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,40088,,,
525,Yuba College,18503.5,0.325203252,,
526,The Salon Professional Academy-Grand Junction,38958,0.4642857143,,
527,Adams State University,31933,0.459791283,933.0,20.0
